Source_File,Text_ID,Content_Type,Author,Date,Text,Engagement,Thread_ID,clean_text
全运会2.txt,Comment_02_047,Comment,Cynthia_（见过汪顺版）,2025-10-17北京,山顶，你带个大炮吧,,全运会2_Thread_02,山顶，你带个大炮吧
全运会2.txt,Comment_02_049,Comment,,2025-10-17湖南,天啊，这么远吗,,全运会2_Thread_02,天啊，这么远吗
全运会2.txt,Post_03,Post,8,10/16/2025,,,全运会2_Thread_03,
全运会2.txt,Comment_03_001,Comment,2R,2025-10-16广西, 到时候有消息这里提前通知，消息会比较及时，可以琎这里,,全运会2_Thread_03, 到时候有消息这里提前通知，消息会比较及时，可以琎这里
全运会2.txt,Comment_03_003,Comment,,2025-10-16广西,深圳站有志愿者计划也会通知，有想去的童鞋可以蹲这层，有招募名额了统一踢,,全运会2_Thread_03,深圳站有志愿者计划也会通知，有想去的童鞋可以蹲这层，有招募名额了统一踢
全运会2.txt,Comment_03_005,Comment,2R,2025-10-16广西, 8【复制口令，启动小红书】 25演唱会内部消息4群创意集结地 11月13日期间开放 MF8547 #l,,全运会2_Thread_03, 8【复制口令，启动小红书】 25演唱会内部消息4群创意集结地 11月13日期间开放 MF8547 #l
全运会2.txt,Comment_03_007,Comment,lara,2025-10-16内蒙古,真的有二开吗？,,全运会2_Thread_03,真的有二开吗？
全运会2.txt,Comment_03_009,Comment,,2025-10-16福建,真的有二开吗,,全运会2_Thread_03,真的有二开吗
全运会2.txt,Post_04,Post,8,编辑于 2025-10-20,,,全运会2_Thread_04,
全运会2.txt,Comment_04_002,Comment,二开啦哈哈哈哈哈！！,2025-11-03广东,置顶评论,,全运会2_Thread_04,置顶评论
全运会2.txt,Comment_04_004,Comment,一小颗大葱,2025-10-15广东,其实，游泳不一定大麦同步，有些是下午六点大麦才卖的,,全运会2_Thread_04,其实，游泳不一定大麦同步，有些是下午六点大麦才卖的
全运会2.txt,Comment_04_007,Comment,进京赶烤冷面,2025-10-15广东,那怎么提前知道大麦什么时候会开售啊好害怕明天小程序抢不到然后大麦也错过,,全运会2_Thread_04,那怎么提前知道大麦什么时候会开售啊好害怕明天小程序抢不到然后大麦也错过
全运会2.txt,Reply_04_009,Reply,一小颗大葱,2025-10-15广东, 进京赶烤冷面  大麦要上的话，开票时间不是十点就是下午六点的，当时乒乓球我们都以为是下午大麦才开，大部分项目都是小程序先开的,,全运会2_Thread_04, 进京赶烤冷面 大麦要上的话，开票时间不是十点就是下午六点的，当时乒乓球我们都以为是下午大麦才开，大部分项目都是小程序先开的
全运会2.txt,Reply_04_010,Reply,,2025-10-15广东,一小颗大葱  进京赶烤冷面  我上次看过排球的，等小程序开票之后大麦就上了，都是下午六点开票,,全运会2_Thread_04,一小颗大葱  进京赶烤冷面 我上次看过排球的，等小程序开票之后大麦就上了，都是下午六点开票
全运会2.txt,Reply_04_011,Reply,,2025-10-15广东,一小颗大葱  很困的冰美式  真的，当时我抢乒乓球之前看过其他项目的，都是分开开票了，大麦是临时突然说十点同步开的,,全运会2_Thread_04,一小颗大葱  很困的冰美式 真的，当时我抢乒乓球之前看过其他项目的，都是分开开票了，大麦是临时突然说十点同步开的
全运会2.txt,Reply_04_013,Reply,进京赶烤冷面,2025-10-15广东, 一小颗大葱  好的好的原来是这样 谢谢你！,,全运会2_Thread_04, 一小颗大葱 好的好的原来是这样 谢谢你！
全运会2.txt,Reply_04_015,Reply,一小颗大葱,2025-10-15广东, 进京赶烤冷面  小程序提前录入好信息就好，我之前是找了几个朋友的证件用他们的抢，准备抢到了再转给我的,,全运会2_Thread_04, 进京赶烤冷面 小程序提前录入好信息就好，我之前是找了几个朋友的证件用他们的抢，准备抢到了再转给我的
全运会2.txt,Reply_04_017,Reply,,2025-10-15广东, 一小颗大葱  噢噢这样子，谢谢你呀,,全运会2_Thread_04, 一小颗大葱 噢噢这样子，谢谢你呀
全运会2.txt,Comment_04_019,Comment,伤心番薯,2025-10-15浙江,所以如果大麦上架的话，早上小程序没抢到就蹲下午大麦的是吗,,全运会2_Thread_04,所以如果大麦上架的话，早上小程序没抢到就蹲下午大麦的是吗
全运会2.txt,Reply_04_021,Reply,一小颗大葱,2025-10-15广东, 伤心番薯  是，但大麦的票池和小程序一样的，小程序没有大麦也没有的,,全运会2_Thread_04, 伤心番薯 是，但大麦的票池和小程序一样的，小程序没有大麦也没有的
全运会2.txt,Reply_04_023,Reply,伤心番薯,2025-10-15浙江, 一小颗大葱,,全运会2_Thread_04, 一小颗大葱
全运会2.txt,Comment_04_028,Comment,,2025-10-15广东,座位图也没有,,全运会2_Thread_04,座位图也没有
全运会2.txt,Reply_04_030,Reply,一小颗大葱,2025-10-15广东, 很困的冰美式  座位图也是进去才有哒，要进去了才能看到什么区域放票了，他只买一部分的,,全运会2_Thread_04, 很困的冰美式 座位图也是进去才有哒，要进去了才能看到什么区域放票了，他只买一部分的
全运会2.txt,Comment_04_033,Comment,,2025-10-15广东, 一小颗大葱  噢噢这样子,,全运会2_Thread_04, 一小颗大葱 噢噢这样子
全运会2.txt,Reply_04_035,Reply,一小颗大葱,2025-10-15广东, 很困的冰美式  进去哪里亮就点哪里反应快点就好，但注意跳票,,全运会2_Thread_04, 很困的冰美式 进去哪里亮就点哪里反应快点就好，但注意跳票
全运会2.txt,Comment_04_037,Comment,虎头虎脑,2025-10-16广东,请问现在上了吗,,全运会2_Thread_04,请问现在上了吗
全运会2.txt,Comment_04_042,Comment,,2025-10-15广东,Mirartowa,,全运会2_Thread_04,Mirartowa
全运会2.txt,Comment_04_045,Comment,,2025-10-15广东,祝我抢到票,,全运会2_Thread_04,祝我抢到票
全运会2.txt,Comment_04_047,Comment,第118号饕客,2025-10-16福建,现在大麦也没上,,全运会2_Thread_04,现在大麦也没上
全运会2.txt,Comment_04_049,Comment,芒果顺小方,2025-10-15广东,我也蹲一个,,全运会2_Thread_04,我也蹲一个
全运会2.txt,Post_05,Post,8,10/30/2025,,,全运会2_Thread_05,
全运会2.txt,Comment_05_001,Comment,白色的包菜,2025-10-30广东,应该可以吧 冠军赛相机胶片机我都带进去了,,全运会2_Thread_05,应该可以吧 冠军赛相机胶片机我都带进去了
全运会2.txt,Comment_05_003,Comment,,2025-10-30上海,有焦距限制嘛,,全运会2_Thread_05,有焦距限制嘛
全运会2.txt,Comment_05_005,Comment,lammm,2025-10-30广东, carryout  蹲,,全运会2_Thread_05, carryout 蹲
全运会2.txt,Comment_05_007,Comment,白色的包菜,2025-10-30广东, carryout  应该没有吧 冠军赛还有大炮呢,,全运会2_Thread_05, carryout 应该没有吧 冠军赛还有大炮呢
全运会2.txt,Reply_05_009,Reply,,2025-10-30上海, 白色的包菜  好的！谢谢宝宝,,全运会2_Thread_05, 白色的包菜 好的！谢谢宝宝
全运会2.txt,Comment_05_011,Comment,想养柴柴的Iris,2025-10-30广东,应该可以，冠军赛同一场馆我带了r50100400进去，其中有一场还带了支架。一开始是提手上不过机，后面几场过机工作人员不管的,,全运会2_Thread_05,应该可以，冠军赛同一场馆我带了r50100400进去，其中有一场还带了支架。一开始是提手上不过机，后面几场过机工作人员不管的
全运会2.txt,Comment_05_013,Comment,,2025-10-30上海,好的！谢谢！,,全运会2_Thread_05,好的！谢谢！
